"","sample","freq.perc","isotype","timepoint","cohort"
"119","B16",4.92023059391339,"IGHG2","2.POST","1.Measles"
"120","B16",0.375385440407561,"IGHG3","2.POST","1.Measles"
"121","B16",0.0536264914867945,"IGHG4","2.POST","1.Measles"
"122","B16",19.6809223756536,"IGHM","2.POST","1.Measles"
"123","B25",45.4716981132076,"IGHA1","1.PRE","1.Measles"
"124","B25",2.0125786163522,"IGHA2","1.PRE","1.Measles"
"125","B25",18.1761006289308,"IGHD","1.PRE","1.Measles"
"126","B25",0.283018867924528,"IGHD/IGHM","1.PRE","1.Measles"
"127","B25",0.0314465408805031,"IGHE","1.PRE","1.Measles"
"128","B25",9.59119496855346,"IGHG1","1.PRE","1.Measles"
"129","B25",1.82389937106918,"IGHG2","1.PRE","1.Measles"
"130","B25",2.51572327044025,"IGHG3","1.PRE","1.Measles"
"131","B25",20.0943396226415,"IGHM","1.PRE","1.Measles"
"132","B25",7.95727893774656,"IGHG1","2.POST","1.Measles"
"133","B25",3.67555085153469,"IGHG2","2.POST","1.Measles"
"134","B25",1.36630424324064,"IGHG3","2.POST","1.Measles"
"135","B25",0.0481093043394593,"IGHG4","2.POST","1.Measles"
"136","B25",38.3816030020206,"IGHM","2.POST","1.Measles"
"137","B25",33.715000481093,"IGHA1","2.POST","1.Measles"
"138","B25",7.73597613778505,"IGHA2","2.POST","1.Measles"
"139","B25",5.94631001635716,"IGHD","2.POST","1.Measles"
"140","B25",0.750505147695564,"IGHD/IGHM","2.POST","1.Measles"
"141","B25",0.423361878187241,"IGHE","2.POST","1.Measles"
"142","B27",15.6670543279615,"IGHA1","1.PRE","1.Measles"
"143","B27",6.21365675361356,"IGHA2","1.PRE","1.Measles"
"144","B27",36.7959793985712,"IGHD","1.PRE","1.Measles"
"145","B27",0.851470343910949,"IGHD/IGHM","1.PRE","1.Measles"
"146","B27",0.116298388436617,"IGHE","1.PRE","1.Measles"
"147","B27",5.26665559062967,"IGHG1","1.PRE","1.Measles"
"148","B27",2.99883701611563,"IGHG2","1.PRE","1.Measles"
"149","B27",0.120451902309354,"IGHG3","1.PRE","1.Measles"
"150","B27",0.0955308190729357,"IGHG4","1.PRE","1.Measles"
"151","B27",31.8740654593786,"IGHM","1.PRE","1.Measles"
"152","B27",32.615268329554,"IGHA1","2.POST","1.Measles"
"153","B27",15.239984882842,"IGHA2","2.POST","1.Measles"
"154","B27",5.2437641723356,"IGHD","2.POST","1.Measles"
"155","B27",0.566893424036281,"IGHD/IGHM","2.POST","1.Measles"
"156","B27",0.387377173091459,"IGHE","2.POST","1.Measles"
"157","B27",10.2607709750567,"IGHG1","2.POST","1.Measles"
"158","B27",6.16969009826153,"IGHG2","2.POST","1.Measles"
"159","B27",0.245653817082389,"IGHG3","2.POST","1.Measles"
"160","B27",0.0377928949357521,"IGHG4","2.POST","1.Measles"
"161","B27",29.2328042328042,"IGHM","2.POST","1.Measles"
"162","B28",23.0784469096672,"IGHA1","1.PRE","1.Measles"
"163","B28",5.20998415213946,"IGHA2","1.PRE","1.Measles"
"164","B28",6.67591125198098,"IGHD","1.PRE","1.Measles"
"165","B28",1.14896988906498,"IGHD/IGHM","1.PRE","1.Measles"
"166","B28",0.198098256735341,"IGHE","1.PRE","1.Measles"
"167","B28",4.16006339144216,"IGHG1","1.PRE","1.Measles"
"168","B28",3.26862123613312,"IGHG2","1.PRE","1.Measles"
"169","B28",0.832012678288431,"IGHG3","1.PRE","1.Measles"
"170","B28",0.138668779714739,"IGHG4","1.PRE","1.Measles"
"171","B28",55.2892234548336,"IGHM","1.PRE","1.Measles"
"172","B28",46.6666666666667,"IGHA1","2.POST","1.Measles"
"173","B28",8.42767295597484,"IGHA2","2.POST","1.Measles"
"174","B28",3.29140461215933,"IGHD","2.POST","1.Measles"
"175","B28",0.356394129979036,"IGHD/IGHM","2.POST","1.Measles"
"176","B28",7.73584905660377,"IGHG1","2.POST","1.Measles"
"177","B28",2.93501048218029,"IGHG2","2.POST","1.Measles"
"178","B28",0.314465408805031,"IGHG3","2.POST","1.Measles"
"179","B28",30.272536687631,"IGHM","2.POST","1.Measles"
"180","B29",20.6474684735554,"IGHA1","1.PRE","1.Measles"
"181","B29",6.06060606060606,"IGHA2","1.PRE","1.Measles"
"182","B29",6.79465462074158,"IGHD","1.PRE","1.Measles"
"183","B29",1.09166196122718,"IGHD/IGHM","1.PRE","1.Measles"
"184","B29",0.338791643139469,"IGHE","1.PRE","1.Measles"
"185","B29",3.44438170525127,"IGHG1","1.PRE","1.Measles"
"186","B29",2.99265951439864,"IGHG2","1.PRE","1.Measles"
"187","B29",0.959909655561829,"IGHG3","1.PRE","1.Measles"
"188","B29",0.112930547713156,"IGHG4","1.PRE","1.Measles"
"189","B29",57.5569358178054,"IGHM","1.PRE","1.Measles"
"190","B29",25.929090132422,"IGHA1","2.POST","1.Measles"
"191","B29",15.4634771465186,"IGHA2","2.POST","1.Measles"
"192","B29",2.00768902178556,"IGHD","2.POST","1.Measles"
"193","B29",0.128150363092695,"IGHD/IGHM","2.POST","1.Measles"
"194","B29",6.23665100384451,"IGHG1","2.POST","1.Measles"
"195","B29",0.939769329346433,"IGHG2","2.POST","1.Measles"
"196","B29",0.170867150790261,"IGHG3","2.POST","1.Measles"
"197","B29",49.1243058521999,"IGHM","2.POST","1.Measles"
"198","B35",33.0389882511412,"IGHA1","1.PRE","1.Measles"
"199","B35",16.4484023048717,"IGHA2","1.PRE","1.Measles"
"200","B35",5.95674623961685,"IGHD","1.PRE","1.Measles"
"201","B35",0.76330165382025,"IGHD/IGHM","1.PRE","1.Measles"
"202","B35",0.688468158347676,"IGHE","1.PRE","1.Measles"
"203","B35",3.1055900621118,"IGHG1","1.PRE","1.Measles"
"204","B35",7.25136571129238,"IGHG2","1.PRE","1.Measles"
"205","B35",0.14218364139789,"IGHG3","1.PRE","1.Measles"
"206","B35",32.6049539774003,"IGHM","1.PRE","1.Measles"
"207","B35",19.327731092437,"IGHA1","2.POST","1.Measles"
"208","B35",9.13408841797589,"IGHA2","2.POST","1.Measles"
"209","B35",3.98246255023749,"IGHD","2.POST","1.Measles"
"210","B35",1.01388381439532,"IGHD/IGHM","2.POST","1.Measles"
"211","B35",5.65400073072707,"IGHG1","2.POST","1.Measles"
"212","B35",6.0239313116551,"IGHG2","2.POST","1.Measles"
"213","B35",0.662221410303252,"IGHG3","2.POST","1.Measles"
"214","B35",54.2016806722689,"IGHM","2.POST","1.Measles"
"215","B42",22.4642464246425,"IGHA1","1.PRE","1.Measles"
"216","B42",11.3751375137514,"IGHA2","1.PRE","1.Measles"
"217","B42",7.17271727172717,"IGHD","1.PRE","1.Measles"
"218","B42",1.25412541254125,"IGHD/IGHM","1.PRE","1.Measles"
"219","B42",0.88008800880088,"IGHE","1.PRE","1.Measles"
"220","B42",7.28272827282728,"IGHG1","1.PRE","1.Measles"
"221","B42",4.07040704070407,"IGHG2","1.PRE","1.Measles"
"222","B42",1.16611661166117,"IGHG3","1.PRE","1.Measles"
"223","B42",0.616061606160616,"IGHG4","1.PRE","1.Measles"
"224","B42",43.7183718371837,"IGHM","1.PRE","1.Measles"
"225","B42",23.5517568850902,"IGHA1","2.POST","1.Measles"
"226","B42",6.97056030389364,"IGHA2","2.POST","1.Measles"
"227","B42",3.79867046533713,"IGHD","2.POST","1.Measles"
"228","B42",0.484330484330484,"IGHD/IGHM","2.POST","1.Measles"
"229","B42",0.0284900284900285,"IGHE","2.POST","1.Measles"
"230","B42",9.31623931623932,"IGHG1","2.POST","1.Measles"
"231","B42",2.89648622981956,"IGHG2","2.POST","1.Measles"
"232","B42",6.1633428300095,"IGHG3","2.POST","1.Measles"
"233","B42",0.104463437796771,"IGHG4","2.POST","1.Measles"
"234","B42",46.6856600189934,"IGHM","2.POST","1.Measles"
"235","B50",39.0135699373695,"IGHA1","1.PRE","1.Measles"
"236","B50",24.6085594989562,"IGHA2","1.PRE","1.Measles"
"237","B50",5.45407098121086,"IGHD","1.PRE","1.Measles"
"238","B50",0.495824634655532,"IGHD/IGHM","1.PRE","1.Measles"
"239","B50",3.07933194154488,"IGHG1","1.PRE","1.Measles"
"240","B50",3.4446764091858,"IGHG2","1.PRE","1.Measles"
"241","B50",0.417536534446764,"IGHG3","1.PRE","1.Measles"
"242","B50",23.4864300626305,"IGHM","1.PRE","1.Measles"
"243","B50",49.4837758112094,"IGHA1","2.POST","1.Measles"
"244","B50",9.19985250737463,"IGHA2","2.POST","1.Measles"
"245","B50",8.84955752212389,"IGHD","2.POST","1.Measles"
"246","B50",0.0737463126843658,"IGHD/IGHM","2.POST","1.Measles"
"247","B50",8.16740412979351,"IGHG1","2.POST","1.Measles"
"248","B50",0.958702064896755,"IGHG2","2.POST","1.Measles"
"249","B50",3.31858407079646,"IGHG3","2.POST","1.Measles"
"250","B50",19.9483775811209,"IGHM","2.POST","1.Measles"
"251","B51",17.5892206846322,"IGHA1","1.PRE","1.Measles"
"252","B51",39.4756008739985,"IGHA2","1.PRE","1.Measles"
"253","B51",7.57465404224326,"IGHD","1.PRE","1.Measles"
"254","B51",0.473415877640204,"IGHD/IGHM","1.PRE","1.Measles"
"255","B51",2.25782957028405,"IGHG1","1.PRE","1.Measles"
"256","B51",1.20174799708667,"IGHG2","1.PRE","1.Measles"
"257","B51",0.364166059723234,"IGHG3","1.PRE","1.Measles"
"258","B51",31.0633648943918,"IGHM","1.PRE","1.Measles"
"259","B51",19.5208023774146,"IGHA1","2.POST","1.Measles"
"260","B51",42.8166790490342,"IGHA2","2.POST","1.Measles"
"261","B51",4.65731797919762,"IGHD","2.POST","1.Measles"
"262","B51",0.218239227340267,"IGHD/IGHM","2.POST","1.Measles"
"263","B51",3.7147102526003,"IGHG1","2.POST","1.Measles"
"264","B51",1.60661218424963,"IGHG2","2.POST","1.Measles"
"265","B51",0.190378900445765,"IGHG3","2.POST","1.Measles"
"266","B51",0.905460624071323,"IGHG4","2.POST","1.Measles"
"267","B51",26.3697994056464,"IGHM","2.POST","1.Measles"
"268","B52",27.5732217573222,"IGHA1","1.PRE","1.Measles"
"269","B52",14.8535564853556,"IGHA2","1.PRE","1.Measles"
"270","B52",7.57322175732217,"IGHD","1.PRE","1.Measles"
"271","B52",0.794979079497908,"IGHD/IGHM","1.PRE","1.Measles"
"272","B52",3.80753138075314,"IGHG1","1.PRE","1.Measles"
"273","B52",1.79916317991632,"IGHG2","1.PRE","1.Measles"
"274","B52",1.33891213389121,"IGHG3","1.PRE","1.Measles"
"275","B52",42.2594142259414,"IGHM","1.PRE","1.Measles"
"276","B52",30.5785123966942,"IGHA1","2.POST","1.Measles"
"277","B52",27.6459610770461,"IGHA2","2.POST","1.Measles"
"278","B52",0.533191149026926,"IGHD/IGHM","2.POST","1.Measles"
"279","B52",4.7187416688883,"IGHG1","2.POST","1.Measles"
"280","B52",0.346574246867502,"IGHG3","2.POST","1.Measles"
"281","B52",26.4729405491869,"IGHM","2.POST","1.Measles"
"282","B52",2.61263663023194,"IGHG2","2.POST","1.Measles"
"283","B52",7.09144228205812,"IGHD","2.POST","1.Measles"
"284","B54",29.2996092240306,"IGHA1","1.PRE","1.Measles"
"285","B54",10.2117061021171,"IGHA2","1.PRE","1.Measles"
"286","B54",9.25838450637695,"IGHD","1.PRE","1.Measles"
"287","B54",0.772963456005497,"IGHD/IGHM","1.PRE","1.Measles"
"288","B54",4.93408339416842,"IGHG1","1.PRE","1.Measles"
